Library, Design Unit, compile Time, Peak Mem Usage
work, ipsl_hmemc_top_test, 0h:00m:00s,    104 MB
work, aq_axi_master, 0h:00m:00s,    105 MB
work, ddr3, 0h:00m:00s,    105 MB
work, ipsl_hmemc_ddrc_top_Z12, 0h:00m:00s,    105 MB
work, GTP_DDRC, 0h:00m:00s,    105 MB
work, ipsl_ddrc_reset_ctrl_Z11, 0h:00m:00s,    105 MB
work, ipsl_ddrc_apb_reset_Z10, 0h:00m:00s,    105 MB
work, ipsl_hmemc_phy_top_Z9, 0h:00m:00s,    105 MB
work, GTP_IOBUFCO, 0h:00m:00s,    105 MB
work, GTP_INV, 0h:00m:00s,    105 MB
work, ipsl_phy_io_Z8, 0h:00m:00s,    105 MB
work, GTP_OUTBUFTCO, 0h:00m:00s,    105 MB
work, GTP_IOBUF, 0h:00m:00s,    105 MB
work, GTP_OUTBUF, 0h:00m:00s,    105 MB
work, GTP_INBUFG, 0h:00m:00s,    105 MB
work, GTP_ISERDES, 0h:00m:00s,    105 MB
work, GTP_IODELAY, 0h:00m:00s,    105 MB
work, GTP_DDC_E1, 0h:00m:00s,    105 MB
work, GTP_IOCLKDIV, 0h:00m:00s,    105 MB
work, GTP_IOCLKBUF, 0h:00m:00s,    105 MB
work, GTP_DDRPHY, 0h:00m:00s,    105 MB
work, GTP_DLL, 0h:00m:00s,    105 MB
work, ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1, 0h:00m:00s,    106 MB
work, ipsl_ddrphy_dll_update_ctrl, 0h:00m:00s,    106 MB
work, ipsl_ddrphy_training_ctrl, 0h:00m:00s,    106 MB
work, ipsl_ddrphy_reset_ctrl, 0h:00m:00s,    106 MB
work, pll_50_400, 0h:00m:00s,    106 MB
work, frame_read_write_64s_32s_32s_25s_10s_64s, 0h:00m:00s,    106 MB
work, frame_fifo_read_Z7, 0h:00m:00s,    115 MB
work, afifo_64i_32o_128, 0h:00m:00s,    115 MB
work, ipml_fifo_v1_3_afifo_64i_32o_128_Z6, 0h:00m:00s,    115 MB
work, ipml_fifo_ctrl_v1_3_8s_9s_ASYN_252s_4s, 0h:00m:00s,    115 MB
work, ipml_sdpram_v1_3_afifo_64i_32o_128_Z5, 0h:00m:00s,    115 MB
work, frame_fifo_write_Z4, 0h:00m:00s,    116 MB
work, afifo_32i_64o_256, 0h:00m:00s,    116 MB
work, ipml_fifo_v1_3_afifo_32i_64o_256_Z3, 0h:00m:00s,    116 MB
work, ipml_fifo_ctrl_v1_3_9s_8s_ASYN_508s_4s, 0h:00m:00s,    116 MB
work, GTP_DRM18K, 0h:00m:00s,    116 MB
work, ipml_sdpram_v1_3_afifo_32i_64o_256_Z2, 0h:00m:00s,    116 MB
work, video_timing_data_32s, 0h:00m:00s,    116 MB
work, color_bar, 0h:00m:00s,    116 MB
work, dvi_encoder, 0h:00m:00s,    116 MB
work, serdes_4b_10to1, 0h:00m:00s,    116 MB
work, GTP_OUTBUFT, 0h:00m:00s,    116 MB
work, GTP_OSERDES, 0h:00m:00s,    116 MB
work, encode, 0h:00m:00s,    116 MB
work, sd_card_bmp, 0h:00m:00s,    116 MB
work, sd_card_top, 0h:00m:00s,    116 MB
work, spi_master, 0h:00m:00s,    116 MB
work, sd_card_cmd, 0h:00m:00s,    118 MB
work, sd_card_sec_read_write_Z1, 0h:00m:00s,    118 MB
work, bmp_read, 0h:00m:00s,    118 MB
work, ax_debounce, 0h:00m:00s,    118 MB
work, video_pll, 0h:00m:00s,    118 MB
work, GTP_PLL_E1, 0h:00m:00s,    118 MB
